donor_id,gene_symbol,probe_id,detected_sample_count,total_sample_count,detection_rate
normalized_microarray_donor10021,INPP5F,1046230,891,893,0.9977603583426652
normalized_microarray_donor10021,IP6K2,1030752,891,893,0.9977603583426652
normalized_microarray_donor10021,IP6K2,1030753,893,893,1.0
normalized_microarray_donor10021,IP6K2,1030791,863,893,0.9664053751399776
normalized_microarray_donor10021,IP6K2,1030792,892,893,0.9988801791713325
normalized_microarray_donor10021,IQCJ,1021047,164,893,0.18365061590145576
normalized_microarray_donor10021,IQCJ,1021142,320,893,0.3583426651735722
normalized_microarray_donor10021,IQCJ,1021143,400,893,0.4479283314669653
normalized_microarray_donor10021,IQCJ,1021144,348,893,0.3896976483762598
normalized_microarray_donor10021,IQCJ-SCHIP1,1044119,892,893,0.9988801791713325
normalized_microarray_donor10021,IQCJ-SCHIP1,1044120,893,893,1.0
normalized_microarray_donor10021,IRS2,1049467,891,893,0.9977603583426652
normalized_microarray_donor10021,IRS2,1049468,766,893,0.8577827547592385
normalized_microarray_donor10021,IRS2,1049469,891,893,0.9977603583426652
normalized_microarray_donor10021,ITGA2B,1054940,514,893,0.5755879059350504
normalized_microarray_donor10021,ITGA2B,1054941,423,893,0.47368421052631576
normalized_microarray_donor10021,ITGA8,1049617,618,893,0.6920492721164614
normalized_microarray_donor10021,ITGA8,1049618,659,893,0.7379619260918253
normalized_microarray_donor10021,ITGAE,1054931,890,893,0.9966405375139977
normalized_microarray_donor10021,ITGAE,1054932,858,893,0.9608062709966405
normalized_microarray_donor10021,ITIH1,1054912,151,893,0.1690929451287794
normalized_microarray_donor10021,ITIH1,1054913,890,893,0.9966405375139977
normalized_microarray_donor10021,ITPKB,1054898,892,893,0.9988801791713325
normalized_microarray_donor10021,ITPKB,1054899,870,893,0.9742441209406495
normalized_microarray_donor10021,KCNIP3,1022417,891,893,0.9977603583426652
normalized_microarray_donor10021,KCNIP3,1022418,890,893,0.9966405375139977
normalized_microarray_donor10021,KCNIP3,1022419,482,893,0.5397536394176932
normalized_microarray_donor10021,KCNN3,1027249,856,893,0.9585666293393057
normalized_microarray_donor10021,KCNN3,1027250,702,893,0.786114221724524
normalized_microarray_donor10021,KCNN3,1027251,661,893,0.7402015677491601
normalized_microarray_donor10021,KCNS3,1054772,859,893,0.961926091825308
normalized_microarray_donor10021,KCNS3,1054773,729,893,0.8163493840985442
normalized_microarray_donor10021,KCNS3,1054774,26,893,0.029115341545352745
