probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,total_detected_samples,total_samples,overall_detection_rate,valid_gene_symbol,reliable_probe
1036138,CUST_2201_PI416261804,77682,ZNF689,zinc finger protein 689,115509.0,16,3674,3702,0.9924365207995678,True,True
1036137,A_23_P129659,77682,ZNF689,zinc finger protein 689,115509.0,16,2792,3702,0.7541869259859535,True,True
1036136,A_24_P248741,77685,ZNF501,zinc finger protein 501,115560.0,3,2519,3702,0.6804430037817396,True,True
1036135,A_23_P92300,77685,ZNF501,zinc finger protein 501,115560.0,3,2040,3702,0.5510534846029174,True,True
1036134,CUST_7630_PI416261804,77686,FAM46B,"family with sequence similarity 46, member B",115572.0,1,6,3702,0.0016207455429497568,True,False
1036133,A_23_P12199,77686,FAM46B,"family with sequence similarity 46, member B",115572.0,1,210,3702,0.05672609400324149,True,False
1036132,CUST_5015_PI416261804,77687,SLC5A11,"solute carrier family 5 (sodium/glucose cotransporter), member 11",115584.0,16,3698,3702,0.9989195029713668,True,True
1036131,A_23_P37914,77687,SLC5A11,"solute carrier family 5 (sodium/glucose cotransporter), member 11",115584.0,16,3674,3702,0.9924365207995678,True,True
1036130,A_24_P74329,94310,ZNF493,zinc finger protein 493,284443.0,19,3700,3702,0.9994597514856834,True,True
1036107,A_23_P384650,77718,NXNL1,nucleoredoxin-like 1,115861.0,19,500,3702,0.1350621285791464,True,False
1036106,CUST_6856_PI416261804,77718,NXNL1,nucleoredoxin-like 1,115861.0,19,213,3702,0.05753646677471637,True,False
1036105,CUST_6073_PI416261804,77719,CTHRC1,collagen triple helix repeat containing 1,115908.0,8,2759,3702,0.7452728254997298,True,True
1036104,A_23_P111888,77719,CTHRC1,collagen triple helix repeat containing 1,115908.0,8,2093,3702,0.5653700702323069,True,True
1036103,CUST_196_PI416261804,77721,C16orf42,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)",115939.0,16,3572,3702,0.9648838465694219,True,True
1036102,A_23_P88753,77721,C16orf42,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)",115939.0,16,3688,3702,0.9962182603997839,True,True
1036101,CUST_5389_PI416261804,77722,CCDC151,coiled-coil domain containing 151,115948.0,19,2977,3702,0.8041599135602377,True,True
1036100,A_23_P326893,77722,CCDC151,coiled-coil domain containing 151,115948.0,19,3609,3702,0.9748784440842788,True,True
1036099,CUST_1672_PI416261804,77723,ZNF653,zinc finger protein 653,115950.0,19,3098,3702,0.8368449486763911,True,True
1036098,A_23_P325676,77723,ZNF653,zinc finger protein 653,115950.0,19,3598,3702,0.9719070772555376,True,True
1036097,A_23_P416242,77724,RNF166,ring finger protein 166,115992.0,16,1435,3702,0.3876283090221502,True,False
1036096,A_23_P385500,77724,RNF166,ring finger protein 166,115992.0,16,1783,3702,0.4816315505132361,True,False
1036095,CUST_11124_PI416261804,77725,C16orf75,"RMI2, RecQ mediated genome instability 2, homolog (S. cerevisiae)",116028.0,16,1964,3702,0.5305240410588871,True,True
1036094,A_23_P353717,77725,C16orf75,"RMI2, RecQ mediated genome instability 2, homolog (S. cerevisiae)",116028.0,16,3124,3702,0.8438681793625068,True,True
1036093,CUST_2276_PI416261804,77731,BATF2,"basic leucine zipper transcription factor, ATF-like 2",116071.0,11,148,3702,0.039978390059427334,True,False
1036092,A_23_P370682,77731,BATF2,"basic leucine zipper transcription factor, ATF-like 2",116071.0,11,2731,3702,0.7377093462992976,True,True
1036091,CUST_6630_PI416261804,77733,DNTTIP1,"deoxynucleotidyltransferase, terminal, interacting protein 1",116092.0,20,3611,3702,0.9754186925985954,True,True
1036090,A_23_P131816,77733,DNTTIP1,"deoxynucleotidyltransferase, terminal, interacting protein 1",116092.0,20,3668,3702,0.990815775256618,True,True
1036089,CUST_8549_PI416261804,77734,DIRC1,disrupted in renal carcinoma 1,116093.0,2,23,3702,0.006212857914640735,True,False
1036088,A_23_P131139,77734,DIRC1,disrupted in renal carcinoma 1,116093.0,2,3700,3702,0.9994597514856834,True,True
1036087,A_23_P50259,77736,ZNF526,zinc finger protein 526,116115.0,19,3609,3702,0.9748784440842788,True,True
1036086,CUST_14050_PI416261804,77738,LRRC3B,leucine rich repeat containing 3B,116135.0,3,3049,3702,0.8236088600756348,True,True
1036085,A_23_P143857,77738,LRRC3B,leucine rich repeat containing 3B,116135.0,3,3678,3702,0.993517017828201,True,True
1036084,A_24_P343255,77739,KLHDC3,kelch domain containing 3,116138.0,6,3526,3702,0.9524581307401405,True,True
1036083,A_23_P156568,77739,KLHDC3,kelch domain containing 3,116138.0,6,3599,3702,0.9721772015126958,True,True
1036082,A_32_P165116,77740,WDR92,WD repeat domain 92,116143.0,2,3494,3702,0.9438141545110751,True,True
1036081,A_32_P165113,77740,WDR92,WD repeat domain 92,116143.0,2,3681,3702,0.9943273905996759,True,True
1036080,A_32_P165112,77740,WDR92,WD repeat domain 92,116143.0,2,3657,3702,0.9878444084278768,True,True
1036079,A_32_P34116,77743,NUS1,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae),116150.0,6,3692,3702,0.9972987574284171,True,True
1036078,CUST_4515_PI416261804,77743,NUS1,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae),116150.0,6,3663,3702,0.9894651539708266,True,True
1036077,A_23_P93082,77743,NUS1,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae),116150.0,6,3695,3702,0.998109130199892,True,True
1036076,A_24_P312058,77743,NUS1,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae),116150.0,6,3684,3702,0.9951377633711507,True,True
1036075,A_24_P399680,77744,C20orf108,"family with sequence similarity 210, member B",116151.0,20,3690,3702,0.9967585089141004,True,True
1036074,A_23_P68486,77744,C20orf108,"family with sequence similarity 210, member B",116151.0,20,3702,3702,1.0,True,True
1036073,A_23_P17620,77746,CYYR1,cysteine/tyrosine-rich 1,116159.0,21,3587,3702,0.9689357104267964,True,True
1036072,A_24_P391230,77746,CYYR1,cysteine/tyrosine-rich 1,116159.0,21,2777,3702,0.7501350621285792,True,True
1036071,CUST_8053_PI416261804,77750,TGM7,transglutaminase 7,116179.0,15,40,3702,0.010804970286331712,True,False
1036070,A_23_P117896,77750,TGM7,transglutaminase 7,116179.0,15,360,3702,0.09724473257698542,True,False
1036069,CUST_2247_PI416261804,77751,TM4SF19,transmembrane 4 L six family member 19,116211.0,3,32,3702,0.00864397622906537,True,False
1036068,A_23_P372946,77751,TM4SF19,transmembrane 4 L six family member 19,116211.0,3,62,3702,0.016747703943814155,True,False
1036067,A_23_P409516,77752,FAM122A,family with sequence similarity 122A,116224.0,9,3640,3702,0.9832522960561858,True,True
1036066,CUST_246_PI416261804,77752,FAM122A,family with sequence similarity 122A,116224.0,9,1209,3702,0.326580226904376,True,False
1036065,CUST_4916_PI416261804,77753,ZMYND19,"zinc finger, MYND-type containing 19",116225.0,9,2636,3702,0.7120475418692599,True,True
1036064,A_24_P158385,77753,ZMYND19,"zinc finger, MYND-type containing 19",116225.0,9,3176,3702,0.857914640734738,True,True
1036063,A_32_P106646,77754,FAM36A,COX20 Cox2 chaperone homolog (S. cerevisiae),116228.0,1,3700,3702,0.9994597514856834,True,True
1036062,A_24_P79712,77754,FAM36A,COX20 Cox2 chaperone homolog (S. cerevisiae),116228.0,1,3697,3702,0.9986493787142086,True,True
1036061,CUST_1247_PI416573500,77755,ABHD15,abhydrolase domain containing 15,116236.0,17,352,3702,0.09508373851971907,True,False
1036060,CUST_1287_PI416379584,77755,ABHD15,abhydrolase domain containing 15,116236.0,17,1551,3702,0.4189627228525122,True,False
1036059,CUST_699_PI416261804,77758,C6orf72,chromosome 6 open reading frame 72,116254.0,6,3691,3702,0.9970286331712588,True,True
1036058,A_23_P31109,77758,C6orf72,chromosome 6 open reading frame 72,116254.0,6,3702,3702,1.0,True,True
1036056,A_23_P142574,77759,MOGAT1,monoacylglycerol O-acyltransferase 1,116255.0,2,2859,3702,0.7722852512155591,True,True
1036055,CUST_10962_PI416261804,77760,ACSM1,acyl-CoA synthetase medium-chain family member 1,116285.0,16,2856,3702,0.7714748784440842,True,True
1036054,A_23_P106933,77760,ACSM1,acyl-CoA synthetase medium-chain family member 1,116285.0,16,78,3702,0.02106969205834684,True,False
1036053,A_32_P934840,77762,C8orf34,chromosome 8 open reading frame 34,116328.0,8,2576,3702,0.6958400864397623,True,True
1036052,A_23_P73311,77762,C8orf34,chromosome 8 open reading frame 34,116328.0,8,3251,3702,0.87817396002161,True,True
1036051,CUST_5524_PI416261804,77763,PANX3,pannexin 3,116337.0,11,65,3702,0.01755807671528903,True,False
1036050,A_23_P87072,77763,PANX3,pannexin 3,116337.0,11,2281,3702,0.6161534305780659,True,True
1036049,CUST_8256_PI416261804,77765,RBP7,"retinol binding protein 7, cellular",116362.0,1,2791,3702,0.7539168017287953,True,True
1036048,A_24_P165423,77765,RBP7,"retinol binding protein 7, cellular",116362.0,1,3539,3702,0.9559697460831983,True,True
1036047,CUST_12721_PI416261804,77766,SLC26A8,"solute carrier family 26, member 8",116369.0,6,1612,3702,0.43544030253916804,True,False
1036046,A_23_P30950,77766,SLC26A8,"solute carrier family 26, member 8",116369.0,6,3323,3702,0.897622906537007,True,True
1036045,A_32_P101031,77767,LYPD1,LY6/PLAUR domain containing 1,116372.0,2,3700,3702,0.9994597514856834,True,True
1036044,CUST_14772_PI416261804,77768,IL22RA2,"interleukin 22 receptor, alpha 2",116379.0,6,10,3702,0.002701242571582928,True,False
1036043,CUST_14771_PI416261804,77768,IL22RA2,"interleukin 22 receptor, alpha 2",116379.0,6,10,3702,0.002701242571582928,True,False
1036042,A_23_P168288,77768,IL22RA2,"interleukin 22 receptor, alpha 2",116379.0,6,444,3702,0.11993517017828201,True,False
1036041,CUST_773_PI416261804,77773,TM4SF18,transmembrane 4 L six family member 18,116441.0,3,2370,3702,0.640194489465154,True,True
1036040,A_24_P120251,77773,TM4SF18,transmembrane 4 L six family member 18,116441.0,3,3247,3702,0.8770934629929767,True,True
1036039,A_23_P159877,77774,RAB39B,"RAB39B, member RAS oncogene family",116442.0,X,3691,3702,0.9970286331712588,True,True
