structure_id,structure_acronym,structure_name,total_sample_count,number_of_donors
4162,FuG-its,"fusiform gyrus, right, bank of the its",8,2
4298,GPe,"globus pallidus, external segment, right",8,2
4042,opIFG,"inferior frontal gyrus, opercular part, left",8,4
9565,IO,"inferior olivary complex, right",8,2
4197,LiG-str,"lingual gyrus, right, striate",8,2
4455,DTM,"medial group of nuclei, right",8,2
9206,Mo5,"motor nucleus of trigeminal nerve, left",8,5
9155,SubC,"nucleus subceruleus, left",8,5
9169,PRF,"pontine reticular formation, right",8,2
4092,PoG-cs,"postcentral gyrus, right, bank of the central sulcus",8,2
9078,SNR,"substantia nigra, pars reticulata, right",8,2
4285,TCd,"tail of caudate nucleus, right",8,2
4903,TP-s,"temporal pole, left, superior aspect",8,5
4169,TG,"transverse gyri, left",8,5
4718,PV-III,"III, left, paravermis",7,4
4702,Ve-IV,IV,7,4
4711,Ve-IX,IX,7,4
4705,Ve-VI,VI,7,4
4707,Ve-VIIAt,VIIAt,7,4
4708,Ve-VIIB,VIIB,7,4
4709,Ve-VIIIA,VIIIA,7,4
4710,Ve-VIIIB,VIIIB,7,4
4743,He-VIIIB,"VIIIB, left, lateral hemisphere",7,4
9137,6,"abducens nucleus, left",7,5
4329,ATZ,"amygdalohippocampal transition zone, left",7,6
4117,AnG-i,"angular gyrus, right, inferior bank of gyrus",7,2
4437,ILc,"caudal group of intralaminar nuclei, left",7,6
9529,8Co,"cochlear nuclei, left",7,5
9020,CnF,"cuneiform nucleus, left",7,4
9103,IC,"inferior colliculus, left",7,4
9619,LMRt,"lateral medullary reticular group, right",7,2
9146,LPB,"lateral parabrachial nucleus, left",7,5
4196,LiG-pest,"lingual gyrus, right, peristriate",7,2
9455,MBRa,midbrain raphe nuclei,7,2
4248,PHG-cos,"parahippocampal gyrus, right, bank of the cos",7,2
4573,PVH,"paraventricular nucleus of the hypothalamus, left",7,5
4069,PaOG,"parolfactory gyri, left",7,5
4094,PoG-il,"postcentral gyrus, right, inferior lateral aspect of gyrus",7,2
4679,PHA,"posterior hypothalamic area, left",7,6
4020,PrG-cs,"precentral gyrus, right, bank of the central sulcus",7,2
4512,R,"reticular nucleus of thalamus, right",7,2
4487,ILr,"rostral group of intralaminar nuclei, right",7,2
9077,SNC,"substantia nigra, pars compacta, right",7,2
4898,SRoG,"superior rostral gyrus, left",7,4
9703,8Ve,"vestibular nuclei, right",7,2
9521,Arc,"arcuate nucleus of medulla, right",6,2
9593,CMRt,"central medullary reticular group, right",6,2
4227,CgGf-i,"cingulate gyrus, frontal part, right, inferior bank of gyrus",6,2
4238,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",6,3
9544,Cu,"cuneate nucleus, right",6,2
9547,10,"dorsal motor nucleus of the vagus, right",6,2
4164,FuG-cos,"fusiform gyrus, right, bank of cos",6,2
9556,Gr,"gracile nucleus, right",6,2
9559,12,"hypoglossal nucleus, right",6,2
13005,LHM,"lateral hypothalamic area, mammillary region, left",6,6
4672,MM,"medial mammillary nucleus, left",6,4
4052,MOrG,"medial orbital gyrus, right",6,2
4076,PCLa-s,"paracentral lobule, anterior part, right, superior bank of gyrus",6,2
4428,DTP,"posterior group of nuclei, left",6,5
4542,PrOR,"preoptic region, left",6,6
9207,Pr5,"principal sensory nucleus of trigeminal nerve, left",6,4
4274,SIG,"short insular gyri, right",6,2
4063,SCG,"subcallosal cingulate gyrus, left",6,4
9022,SubCn,"subcuneiform nucleus, left",6,5
9115,SC,"superior colliculus, left",6,4
4101,SPL-s,"superior parietal lobule, right, superior bank of gyrus",6,2
4110,SMG-i,"supramarginal gyrus, right, inferior bank of gyrus",6,2
4593,SO,"supraoptic nucleus, left",6,5
4904,TP-i,"temporal pole, left, inferior aspect",6,4
4905,TP-m,"temporal pole, left, medial aspect",6,4
4637,VMH,"ventromedial hypothalamic nucleus, left",6,5
4773,He-Crus II,"Crus II, right, lateral hemisphere",5,2
4167,HG,"Heschl's gyrus, right",5,2
4700,Ve-I-II,I-II,5,3
4706,Ve-VIIAf,VIIAf,5,3
4713,Ve-X,X,5,3
4746,He-X,"X, left, lateral hemisphere",5,3
4116,AnG-s,"angular gyrus, right, superior bank of gyrus",5,2
4054,AOrG,"anterior orbital gyrus, left",5,3
4313,BST,"bed  nucleus of stria terminalis, left",5,4
9708,CPLV,choroid plexus of the lateral ventricle,5,3
4237,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",5,3
4641,DMH,"dorsomedial hypothalamic nucleus, left",5,4
4163,FuG-l,"fusiform gyrus, right, lateral bank of gyrus",5,2
9604,GiRt,"gigantocellular group, right",5,2
4299,GPi,"globus pallidus, internal segment, right",5,2
4046,orIFG,"inferior frontal gyrus, orbital part, right",5,2
4902,IRoG,"inferior rostral gyrus, right",5,2
4464,DTLd,"lateral group of nuclei, right, dorsal division",5,2
4061,LOrG,"lateral orbital gyrus, right",5,2
4271,LIG,"long insular gyri, right",5,2
9456,MBRa,"midbrain raphe nuclei, left",5,3
4310,DBv,"nucleus of the diagonal band, left, horizontal division",5,4
4204,OTG-i,"occipito-temporal gyrus, right, inferior bank of gyrus",5,2
10145,OlfT,"olfactory tubercle, left",5,4
4077,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",5,2
4247,PHG-l,"parahippocampal gyrus, right, lateral bank of gyrus",5,2
4534,Pa,"paraventricular nuclei, left of thalamus, left",5,3
4648,PeF,"perifornical nucleus, left",5,4
9158,RPn,"pontine raphe nucleus, left",5,3
4057,POrG,"posterior orbital gyrus, left",5,3
4019,PrG-il,"precentral gyrus, right, inferior lateral aspect of gyrus",5,2
4018,PrG-sl,"precentral gyrus, right, superior lateral aspect of gyrus",5,2
4124,Pcu-i,"precuneus, right, inferior lateral bank of gyrus",5,2
4123,Pcu-s,"precuneus, right, superior lateral bank of gyrus",5,2
9057,RN,"red nucleus, right",5,2
4307,SI,"substantia innominata, left",5,2
9186,SOC,"superior olivary complex, right",5,2
4109,SMG-s,"supramarginal gyrus, right, superior bank of gyrus",5,2
4907,TP-i,"temporal pole, right, inferior aspect",5,2
4734,He-III,"III, left, lateral hemisphere",4,2
4744,He-IX,"IX, left, lateral hemisphere",4,2
4492,ILc,"caudal group of intralaminar nuclei, right",4,2
4234,CgGp-i,"cingulate gyrus, parietal part, right, inferior bank of gyrus",4,2
4787,Dt,"dentate nucleus, right",4,2
