structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
4304,SptN,"septal nuclei, right",2,4,20598
4307,SI,"substantia innominata, left",2,5,20598
4308,nbM,"basal nucleus of meynert, left",4,9,20598
4310,DBv,"nucleus of the diagonal band, left, horizontal division",4,5,20598
4311,DBh,"nucleus of the diagonal band, left, vertical division",4,4,20598
4313,BST,"bed  nucleus of stria terminalis, left",4,5,20598
4314,SI,"substantia innominata, right",2,4,20598
4322,Cl,"claustrum, left",6,33,20598
4323,Cl,"claustrum, right",2,14,20598
4329,ATZ,"amygdalohippocampal transition zone, left",6,7,20598
4335,ATZ,"amygdalohippocampal transition zone, right",1,2,20598
4342,BLA,"basolateral nucleus, left",6,10,20598
4346,BLA,"basolateral nucleus, right",1,3,20598
4351,BMA,"basomedial nucleus, left",6,9,20598
4355,BMA,"basomedial nucleus, right",1,3,20598
4360,CeA,"central nucleus, left",6,8,20598
4363,CeA,"central nucleus, right",1,1,20598
4367,COMA,"cortico-medial group, left",6,9,20598
4371,COMA,"cortico-medial group, right",1,2,20598
4379,LA,"lateral nucleus, left",6,11,20598
4382,LA,"lateral nucleus, right",1,2,20598
4395,DTA,"anterior group of nuclei, left",6,19,20598
4400,DTM,"medial group of nuclei, left",6,18,20598
4409,DTLd,"lateral group of nuclei, left, dorsal division",6,13,20598
4417,DTLv,"lateral group of nuclei, left, ventral division",6,20,20598
4428,DTP,"posterior group of nuclei, left",5,6,20598
4432,ILr,"rostral group of intralaminar nuclei, left",6,15,20598
4437,ILc,"caudal group of intralaminar nuclei, left",6,7,20598
4440,LGd,"dorsal lateral geniculate nucleus, left",6,13,20598
4444,MG,"medial geniculate complex, left",5,9,20598
4450,DTA,"anterior group of nuclei, right",2,9,20598
4455,DTM,"medial group of nuclei, right",2,8,20598
4464,DTLd,"lateral group of nuclei, right, dorsal division",2,5,20598
4472,DTLv,"lateral group of nuclei, right, ventral division",2,13,20598
4483,DTP,"posterior group of nuclei, right",2,3,20598
4487,ILr,"rostral group of intralaminar nuclei, right",2,7,20598
4492,ILc,"caudal group of intralaminar nuclei, right",2,4,20598
4495,LGd,"dorsal lateral geniculate nucleus, right",2,4,20598
4499,MG,"medial geniculate complex, right",1,2,20598
4506,R,"reticular nucleus of thalamus, left",6,15,20598
4507,ZI,"zona incerta, left",6,10,20598
4512,R,"reticular nucleus of thalamus, right",2,7,20598
4513,ZI,"zona incerta, right",2,2,20598
4518,Sb,"subthalamic nucleus, left",6,11,20598
4519,Sb,"subthalamic nucleus, right",2,3,20598
4523,Hm,"medial habenular nucleus, left",1,1,20598
4524,Hl,"lateral habenular nucleus, left",2,2,20598
4528,Hm,"medial habenular nucleus, right",1,1,20598
4529,Hl,"lateral habenular nucleus, right",1,1,20598
4532,PIN,pineal gland,1,1,20598
4534,Pa,"paraventricular nuclei, left of thalamus, left",3,5,20598
4537,Pa,"paraventricular nuclei, right of thalamus, right",2,4,20598
4542,PrOR,"preoptic region, left",6,6,20598
4556,PrOR,"preoptic region, right",2,2,20598
4573,PVH,"paraventricular nucleus of the hypothalamus, left",5,7,20598
4593,SO,"supraoptic nucleus, left",5,6,20598
4596,LHA,"lateral hypothalamic area, anterior region, left",4,4,20598
4597,PalHy,"pallidohypothalamic nucleus, left",3,3,20598
4598,AHA,"anterior hypothalamic area, left",2,2,20598
4604,PVH,"paraventricular nucleus of the hypothalamus, right",1,2,20598
4624,SO,"supraoptic nucleus, right",2,2,20598
4627,LHA,"lateral hypothalamic area, anterior region, right",1,1,20598
4629,AHA,"anterior hypothalamic area, right",1,1,20598
4637,VMH,"ventromedial hypothalamic nucleus, left",5,6,20598
4641,DMH,"dorsomedial hypothalamic nucleus, left",4,5,20598
4644,ARH,"arcuate nucleus of the hypothalamus, left",3,3,20598
4648,PeF,"perifornical nucleus, left",4,5,20598
4652,VMH,"ventromedial hypothalamic nucleus, right",1,1,20598
4659,ARH,"arcuate nucleus of the hypothalamus, right",1,1,20598
4667,TM,"tuberomammillary nucleus, left",4,4,20598
4669,SuM,"supramammillary nucleus, left",4,4,20598
4671,MB,"mammillary body, left",1,1,20598
4672,MM,"medial mammillary nucleus, left",4,6,20598
4675,LM,"lateral mammillary nucleus, left",4,4,20598
4679,PHA,"posterior hypothalamic area, left",6,7,20598
4685,MB,"mammillary body, right",1,1,20598
4693,PHA,"posterior hypothalamic area, right",2,2,20598
4700,Ve-I-II,I-II,3,5,20598
4701,Ve-III,III,4,9,20598
4702,Ve-IV,IV,4,7,20598
4703,Ve-V,V,4,8,20598
4705,Ve-VI,VI,4,7,20598
4706,Ve-VIIAf,VIIAf,3,5,20598
4707,Ve-VIIAt,VIIAt,4,7,20598
4708,Ve-VIIB,VIIB,4,7,20598
4709,Ve-VIIIA,VIIIA,4,7,20598
4710,Ve-VIIIB,VIIIB,4,7,20598
4711,Ve-IX,IX,4,7,20598
4713,Ve-X,X,3,5,20598
4718,PV-III,"III, left, paravermis",4,7,20598
4719,PV-IV,"IV, left, paravermis",5,9,20598
4720,PV-V,"V, left, paravermis",6,11,20598
4722,PV-VI,"VI, left, paravermis",6,11,20598
4723,PV-Crus I,"Crus I, left, paravermis",6,11,20598
4724,PV-Crus II,"Crus II, left, paravermis",5,9,20598
4725,PV-VIIB,"VIIB, left, paravermis",6,11,20598
4726,PV-VIIIA,"VIIIA, left, paravermis",5,9,20598
4727,PV-VIIIB,"VIIIB, left, paravermis",5,8,20598
4728,PV-IX,"IX, left, paravermis",5,9,20598
4730,PV-X,"X, left, paravermis",1,2,20598
4734,He-III,"III, left, lateral hemisphere",2,4,20598
4735,He-IV,"IV, left, lateral hemisphere",4,8,20598
4736,He-V,"V, left, lateral hemisphere",4,10,20598
4738,He-VI,"VI, left, lateral hemisphere",6,15,20598
4739,He-Crus I,"Crus I, left, lateral hemisphere",6,19,20598
4740,He-Crus II,"Crus II, left, lateral hemisphere",6,17,20598
4741,He-VIIB,"VIIB, left, lateral hemisphere",6,15,20598
4742,He-VIIIA,"VIIIA, left, lateral hemisphere",5,13,20598
4743,He-VIIIB,"VIIIB, left, lateral hemisphere",4,7,20598
4744,He-IX,"IX, left, lateral hemisphere",2,4,20598
4746,He-X,"X, left, lateral hemisphere",3,5,20598
4751,PV-III,"III, right, paravermis",1,1,20598
4752,PV-IV,"IV, right, paravermis",2,3,20598
4753,PV-V,"V, right, paravermis",2,3,20598
4755,PV-VI,"VI, right, paravermis",2,3,20598
4756,PV-Crus I,"Crus I, right, paravermis",2,3,20598
4757,PV-Crus II,"Crus II, right, paravermis",2,3,20598
4758,PV-VIIB,"VIIB, right, paravermis",2,3,20598
4759,PV-VIIIA,"VIIIA, right, paravermis",2,3,20598
4760,PV-VIIIB,"VIIIB, right, paravermis",2,2,20598
4761,PV-IX,"IX, right, paravermis",2,3,20598
4771,He-VI,"VI, right, lateral hemisphere",2,3,20598
4772,He-Crus I,"Crus I, right, lateral hemisphere",2,3,20598
4773,He-Crus II,"Crus II, right, lateral hemisphere",2,5,20598
4774,He-VIIB,"VIIB, right, lateral hemisphere",2,2,20598
4775,He-VIIIA,"VIIIA, right, lateral hemisphere",1,2,20598
4782,Dt,"dentate nucleus, left",6,13,20598
4783,Emb,"emboliform nucleus, left",2,2,20598
4784,Fas,"fastigial nucleus, left",2,3,20598
4785,Glo,"globose nucleus, left",3,3,20598
4787,Dt,"dentate nucleus, right",2,4,20598
4788,Emb,"emboliform nucleus, right",2,2,20598
4789,Fas,"fastigial nucleus, right",2,2,20598
4790,Glo,"globose nucleus, right",2,2,20598
4890,FP-s,"frontal pole, left, superior aspect",2,3,20598
4891,FPi,"frontal pole, left, inferior aspect",1,4,20598
4892,FPm,"frontal pole, left, medial aspect",1,1,20598
4894,FP-s,"frontal pole, right, superior aspect",1,2,20598
4895,FPi,"frontal pole, right, inferior aspect",1,1,20598
4896,FPm,"frontal pole, right, medial aspect",1,1,20598
4898,SRoG,"superior rostral gyrus, left",4,7,20598
4899,SRoG,"superior rostral gyrus, right",2,2,20598
4901,IRoG,"inferior rostral gyrus, left",5,9,20598
4902,IRoG,"inferior rostral gyrus, right",2,5,20598
4903,TP-s,"temporal pole, left, superior aspect",5,8,20598
4904,TP-i,"temporal pole, left, inferior aspect",4,6,20598
4905,TP-m,"temporal pole, left, medial aspect",4,6,20598
4906,TP-s,"temporal pole, right, superior aspect",2,3,20598
