structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank,sensitivity_fdr_q_all_six,sensitivity_fdr_q_all_six_significant_0_05
4136,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",6,28,-0.08297628,-0.09980519,0.026987009,0.623593,0.2676732326767323,0.6940597606905976,False,120,0.5513967833985831,False
4031,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",6,30,-0.07987378,-0.0970224,0.028039157,0.61159545,0.2706729327067293,0.6940597606905976,False,117,0.5513967833985831,False
4679,PHA,"posterior hypothalamic area, left",6,7,-0.27808213,-0.31061685,0.05366846,0.6062167,0.2730726927307269,0.6940597606905976,False,161,0.5513967833985831,False
4166,HG,"Heschl's gyrus, left",6,11,-0.093163654,-0.10805614,0.026219951,0.5679831,0.2851714828517148,0.7025107615820697,False,123,0.5649623716873595,False
4417,DTLv,"lateral group of nuclei, left, ventral division",6,20,0.44032392,0.41421217,0.050306983,0.5190483,0.3030696930306969,0.7025107615820697,False,10,0.5789693757896937,False
4186,Cun-pest,"cuneus, left, peristriate",6,19,-0.06986784,-0.0861311,0.031404518,0.51786375,0.3032696730326967,0.7025107615820697,False,112,0.5789693757896937,False
4224,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",6,35,0.048435878,0.03563756,0.027348233,0.467976,0.318968103189681,0.7055687288414015,False,54,0.5930985848783542,False
4201,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",6,14,-0.011594863,-0.024644824,0.027888117,0.46793982,0.321967803219678,0.7055687288414015,False,90,0.5930985848783542,False
4060,LOrG,"lateral orbital gyrus, left",6,15,-0.08052686,-0.090368494,0.024839591,0.39620763,0.3446655334466553,0.7249861220774475,False,118,0.6239634657223931,False
4150,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",6,24,-0.079049096,-0.08949255,0.028802773,0.3625851,0.358964103589641,0.7298936772989368,False,116,0.6388344216425814,False
4360,CeA,"central nucleus, left",6,8,-0.17700298,-0.19315773,0.05285925,0.30561826,0.3760623937606239,0.7416598765655349,False,139,0.64955799502017,False
4782,Dt,"dentate nucleus, left",6,13,0.18522592,0.1657945,0.06497831,0.2990446,0.3773622637736226,0.7416598765655349,False,28,0.64955799502017,False
9492,Pn,"pontine nuclei, left",6,35,0.027815772,0.010458876,0.059241693,0.29298446,0.3890610938906109,0.7494545282313874,False,64,0.6588937880405507,False
4214,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",6,13,-0.0420787,-0.045876663,0.026763896,0.14190622,0.4413558644135586,0.8241645223232777,False,100,0.7355931073559311,False
9677,Sp5,"spinal trigeminal nucleus, left",6,35,0.2388567,0.2341857,0.050798338,0.091951974,0.4582541745825417,0.8386051394860513,False,24,0.7518232551744825,False
4230,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",6,18,-0.028736679,-0.02895143,0.02758407,0.007785356,0.4970502949705029,0.8831087765009907,False,95,0.8029273995677354,False
9067,VTA,"ventral tegmental area, left",6,13,0.13311832,0.13388781,0.050771274,-0.015156128,0.5082491750824918,0.8858057051437714,False,36,0.8085782330857824,False
9614,LMRt,"lateral medullary reticular group, left",6,13,0.23191805,0.23600544,0.061882522,-0.066050775,0.5222477752224778,0.901616442129372,False,25,0.8184480059456742,False
4098,SPL-s,"superior parietal lobule, left, superior bank of gyrus",6,19,0.045453206,0.047917806,0.027517226,-0.08956571,0.5355464453554645,0.902432484024325,False,57,0.8247001386817839,False
4013,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",6,19,0.015036281,0.018635403,0.030075105,-0.11967114,0.541945805419458,0.902432484024325,False,74,0.8247001386817839,False
4200,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",6,17,-0.062218104,-0.057189167,0.025879726,-0.19431956,0.5740425957404259,0.937944598397303,False,109,0.861063893610639,False
