structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank
4905,TP-m,"temporal pole, left, medial aspect",4,6,0.038309153,0.015183944,0.043052882,0.537135,0.29247075292470753,0.7025107615820697,False,60
9642,RaM,raphe nuclei of medulla,6,16,0.03822774,0.05698951,0.055545732,-0.33777156,0.6298370162983702,0.9894968130305611,False,61
4135,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",6,27,0.033331815,0.008407606,0.030432362,0.81900346,0.20607939206079393,0.6640064807078614,False,62
4904,TP-i,"temporal pole, left, inferior aspect",4,6,0.029311256,-0.028492233,0.034185294,1.6908876,0.044795520447955206,0.2979987715514163,False,63
9492,Pn,"pontine nuclei, left",6,35,0.027815772,0.010458876,0.059241693,0.29298446,0.38906109389061094,0.7494545282313874,False,64
4256,CA3,"CA3 field, left",6,21,0.026487561,-0.109768845,0.07615839,1.7891189,0.0365963403659634,0.29350264973502643,False,65
9022,SubCn,"subcuneiform nucleus, left",5,6,0.02646687,0.13607061,0.054981243,-1.9934751,0.978002199780022,0.9922007799220078,False,66
4099,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",6,23,0.023652552,-0.00449679,0.02826093,0.99605155,0.16108389161083891,0.5806150154215348,False,67
4169,TG,"transverse gyri, left",5,8,0.023391832,0.01840113,0.02651998,0.18818651,0.42905709429057093,0.8178900859914008,False,68
4120,Pcu-s,"precuneus, left, superior lateral bank of gyrus",6,20,0.02258037,-0.0013257832,0.029685901,0.8053032,0.21257874212578742,0.6640064807078614,False,69
9546,10,"dorsal motor nucleus of the vagus, left",4,10,0.021851134,-0.049385782,0.06682497,1.0660224,0.14478552144785523,0.5733426657334266,False,70
4149,ITG-its,"inferior temporal gyrus, left, bank of the its",6,33,0.021794908,-0.027385851,0.027192673,1.8086034,0.033896610338966106,0.29350264973502643,False,71
