structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
9604,GiRt,"gigantocellular group, right",2,5,176
4299,GPi,"globus pallidus, internal segment, right",2,5,176
4046,orIFG,"inferior frontal gyrus, orbital part, right",2,5,176
4902,IRoG,"inferior rostral gyrus, right",2,5,176
4464,DTLd,"lateral group of nuclei, right, dorsal division",2,5,176
4061,LOrG,"lateral orbital gyrus, right",2,5,176
4271,LIG,"long insular gyri, right",2,5,176
4204,OTG-i,"occipito-temporal gyrus, right, inferior bank of gyrus",2,5,176
4077,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",2,5,176
4247,PHG-l,"parahippocampal gyrus, right, lateral bank of gyrus",2,5,176
4019,PrG-il,"precentral gyrus, right, inferior lateral aspect of gyrus",2,5,176
4018,PrG-sl,"precentral gyrus, right, superior lateral aspect of gyrus",2,5,176
4124,Pcu-i,"precuneus, right, inferior lateral bank of gyrus",2,5,176
4123,Pcu-s,"precuneus, right, superior lateral bank of gyrus",2,5,176
9057,RN,"red nucleus, right",2,5,176
4307,SI,"substantia innominata, left",2,5,176
9186,SOC,"superior olivary complex, right",2,5,176
4109,SMG-s,"supramarginal gyrus, right, superior bank of gyrus",2,5,176
4907,TP-i,"temporal pole, right, inferior aspect",2,5,176
4734,He-III,"III, left, lateral hemisphere",2,4,176
4744,He-IX,"IX, left, lateral hemisphere",2,4,176
4492,ILc,"caudal group of intralaminar nuclei, right",2,4,176
4234,CgGp-i,"cingulate gyrus, parietal part, right, inferior bank of gyrus",2,4,176
4787,Dt,"dentate nucleus, right",2,4,176
4495,LGd,"dorsal lateral geniculate nucleus, right",2,4,176
4080,fro,"frontal operculum, right",2,4,176
9150,LC,"locus ceruleus, right",2,4,176
4292,Acb,"nucleus accumbens, right",2,4,176
9156,SubC,"nucleus subceruleus, right",2,4,176
4203,OTG-s,"occipito-temporal gyrus, right, superior bank of gyrus",2,4,176
4537,Pa,"paraventricular nuclei, right of thalamus, right",2,4,176
4304,SptN,"septal nuclei, right",2,4,176
4314,SI,"substantia innominata, right",2,4,176
4102,SPL-i,"superior parietal lobule, right, inferior bank of gyrus",2,4,176
4772,He-Crus I,"Crus I, right, lateral hemisphere",2,3,176
4756,PV-Crus I,"Crus I, right, paravermis",2,3,176
4757,PV-Crus II,"Crus II, right, paravermis",2,3,176
4752,PV-IV,"IV, right, paravermis",2,3,176
4761,PV-IX,"IX, right, paravermis",2,3,176
4753,PV-V,"V, right, paravermis",2,3,176
4771,He-VI,"VI, right, lateral hemisphere",2,3,176
4755,PV-VI,"VI, right, paravermis",2,3,176
4758,PV-VIIB,"VIIB, right, paravermis",2,3,176
4759,PV-VIIIA,"VIIIA, right, paravermis",2,3,176
9138,6,"abducens nucleus, right",2,3,176
10148,CGPo,"central gray of the pons, left",2,3,176
4233,CgGp-s,"cingulate gyrus, parietal part, right, superior bank of gyrus",2,3,176
4190,Cun-str,"cuneus, right, striate",2,3,176
9144,7,"facial motor nucleus, right",2,3,176
4784,Fas,"fastigial nucleus, left",2,3,176
4890,FP-s,"frontal pole, left, superior aspect",2,3,176
4043,opIFG,"inferior frontal gyrus, opercular part, right",2,3,176
4040,trIFG,"inferior frontal gyrus, triangular part, right",2,3,176
9153,MPB,"medial parabrachial nucleus,right",2,3,176
9039,3,"oculomotor nuclear complex, right",2,3,176
4179,PLP,"planum polare, right",2,3,176
4173,PLT,"planum temporale, right",2,3,176
4095,PoG-pcs,"postcentral gyrus, right, bank of the posterior central sulcus",2,3,176
4483,DTP,"posterior group of nuclei, right",2,3,176
4058,POrG,"posterior orbital gyrus, right",2,3,176
4017,PrG-prc,"precentral gyrus, right, bank of the precentral sulcus",2,3,176
9214,Pr5,"principal sensory nucleus of trigeminal nerve, right",2,3,176
9026,SubCn,"subcuneiform nucleus, right",2,3,176
4519,Sb,"subthalamic nucleus, right",2,3,176
4217,SOG-s,"superior occipital gyrus, right, superior bank of gyrus",2,3,176
4906,TP-s,"temporal pole, right, superior aspect",2,3,176
4170,TG,"transverse gyri, right",2,3,176
9064,4,"trochlear nucleus, left",2,3,176
9065,4,"trochlear nucleus, right",2,3,176
9068,VTA,"ventral tegmental area, right",2,3,176
9450,EW,"Edinger-Westphal nucleus, left",2,2,176
4774,He-VIIB,"VIIB, right, lateral hemisphere",2,2,176
4760,PV-VIIIB,"VIIIB, right, paravermis",2,2,176
4598,AHA,"anterior hypothalamic area, left",2,2,176
4189,Cun-pest,"cuneus, right, peristriate",2,2,176
4783,Emb,"emboliform nucleus, left",2,2,176
4788,Emb,"emboliform nucleus, right",2,2,176
4789,Fas,"fastigial nucleus, right",2,2,176
4790,Glo,"globose nucleus, right",2,2,176
9016,ICjl,"interstitial nucleus of Cajal, left",2,2,176
4524,Hl,"lateral habenular nucleus, left",2,2,176
13006,LHM,"lateral hypothalamic area, mammillary region, right",2,2,176
9213,Mo5,"motor nucleus of trigeminal nerve, right",2,2,176
9048,Dk,"nucleus of Darkschewitsch, left",2,2,176
4072,PCLa,"paracentral lobule, anterior part, left",2,2,176
9157,RPn,pontine raphe nucleus,2,2,176
4693,PHA,"posterior hypothalamic area, right",2,2,176
4556,PrOR,"preoptic region, right",2,2,176
4064,SCG,"subcallosal cingulate gyrus, right",2,2,176
4899,SRoG,"superior rostral gyrus, right",2,2,176
4624,SO,"supraoptic nucleus, right",2,2,176
4908,TP-m,"temporal pole, right, medial aspect",2,2,176
4513,ZI,"zona incerta, right",2,2,176
4891,FPi,"frontal pole, left, inferior aspect",1,4,176
4138,STG-l,"superior temporal gyrus, right, lateral bank of gyrus",1,4,176
4346,BLA,"basolateral nucleus, right",1,3,176
4355,BMA,"basomedial nucleus, right",1,3,176
4241,CgGr-i,"cingulate gyrus, retrosplenial part, right, inferior bank of gyrus",1,3,176
4211,IOG-i,"inferior occipital gyrus, right, inferior bank of gyrus",1,3,176
4775,He-VIIIA,"VIIIA, right, lateral hemisphere",1,2,176
4730,PV-X,"X, left, paravermis",1,2,176
