gene_symbol,probe_id,probe_name,overall_detection_rate,donors_with_detection_rate_at_least_0_5
KLHL7,1025739,A_24_P295050,0.9897352782279849,6
KNTC1,1048213,CUST_6725_PI416261804,0.9154511075094544,6
KPNA1,1015121,CUST_209_PI417507815,0.9983792544570502,6
KPNA3,1054722,A_23_P139950,0.9991896272285251,6
KRTCAP2,1033536,A_23_P149249,0.9994597514856834,6
KTN1,1011820,CUST_10474_PI416261804,1.0,6
LHFPL2,1047730,A_23_P255104,0.9883846569421935,6
LMNA,1054551,A_23_P34835,0.9991896272285251,6
LRP1B,1043072,A_23_P5342,0.9916261480280929,6
LRP8,1050104,A_23_P200222,0.9986493787142086,6
LRRC37A4P,1015124,A_24_P238143,0.9994597514856834,6
LRRK2,1022614,A_23_P128447,0.9991896272285251,6
LRRN2,1024046,A_23_P11843,0.9994597514856834,6
MAP4K4,1030504,A_23_P108604,0.9994597514856834,6
MAPT,1020634,CUST_449_PI416408490,0.9986493787142086,6
MAPT-AS1,1063807,A_24_P127174,1.0,6
MBNL2,1026724,A_24_P56317,0.9997298757428417,6
MCCC1,1041094,A_23_P58036,0.998109130199892,6
MED12L,1036005,A_32_P701268,0.8914100486223663,6
MED13,1047970,A_24_P17077,1.0,6
METTL13,1029408,A_23_P201672,1.0,6
MIPOL1,1034741,A_23_P300867,0.9624527282549973,6
MORN1,1038821,CUST_89_PI416261804,0.7558076715289033,5
MRPL1,1039605,CUST_5113_PI416261804,0.9994597514856834,6
MTF2,1046289,CUST_2197_PI416261804,0.9997298757428417,6
MUC12,1015514,CUST_4556_PI416261804,0.6693679092382496,4
MYLK2,1037087,A_23_P80008,0.9910858995137763,6
NDUFAF2,1036662,A_32_P49555,0.9994597514856834,6
NOL4,1049391,A_32_P126733,0.993517017828201,6
NRBP1,1044129,A_23_P165442,0.9502971366828741,6
NSF,1053553,A_23_P15714,0.9994597514856834,6
NUCKS1,1039787,A_24_P216964,1.0,6
P2RX5,1029961,CUST_6425_PI416261804,0.8649378714208535,6
PAM,1053360,A_23_P213678,0.9994597514856834,6
PARP9,1017969,A_23_P69383,0.5748244192328471,4
PBXIP1,1040725,A_24_P79808,0.9859535386277688,6
PCGF3,1047531,A_24_P388632,0.9978390059427337,6
