gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
FYN,1029627,CUST_268_PI416408490,3688,3702,0.9962182603997839,6,6,True
GAK,1056538,A_24_P397150,3689,3702,0.9964883846569422,6,6,True
GAK,1056539,A_23_P155700,3557,3702,0.9608319827120475,6,6,True
GALNT14,1039165,A_23_P67847,3683,3702,0.9948676391139925,6,6,True
GALNT14,1039166,CUST_16508_PI416261804,3308,3702,0.8935710426796326,6,6,True
GALNT9,1013164,CUST_7775_PI416261804,3430,3702,0.9265262020529443,6,6,True
GALNT9,1013937,CUST_7778_PI416261804,2125,3702,0.5740140464613722,6,5,True
GALNT9,1018522,A_23_P252462,3441,3702,0.9294975688816856,6,6,True
GALNT9,1063388,CUST_3779_PI416261804,926,3702,0.25013506212857917,6,0,False
GBF1,1049375,A_23_P161237,3700,3702,0.9994597514856834,6,6,True
GBF1,1049376,CUST_12730_PI416261804,2029,3702,0.5480821177741761,6,4,True
GCH1,1029868,A_24_P167642,609,3702,0.16450567260940033,6,0,False
GCH1,1029869,CUST_15355_PI416261804,290,3702,0.07833603457590492,6,0,False
GCH1,1029901,CUST_15354_PI416261804,1313,3702,0.35467314964883845,6,2,False
GCH1,1030010,CUST_15352_PI416261804,525,3702,0.14181523500810372,6,0,False
GCH1,1056474,A_23_P163079,110,3702,0.02971366828741221,6,0,False
GJA5,1024400,A_23_P371729,23,3702,0.006212857914640735,6,0,False
GJA5,1024401,CUST_4734_PI416261804,307,3702,0.0829281469475959,6,0,False
GJA5,1056413,CUST_9601_PI416261804,98,3702,0.026472177201512695,6,0,False
GPM6B,1023580,CUST_1352_PI416379584,3700,3702,0.9994597514856834,6,6,True
GPM6B,1056269,A_23_P378416,3697,3702,0.9986493787142086,6,6,True
GPM6B,1056270,CUST_15339_PI416261804,3697,3702,0.9986493787142086,6,6,True
GPM6B,1056271,CUST_15338_PI416261804,3697,3702,0.9986493787142086,6,6,True
GPNMB,1024151,A_23_P134426,3172,3702,0.8568341437061048,6,6,True
GPNMB,1024152,CUST_16436_PI416261804,198,3702,0.05348460291734198,6,0,False
GPR65,1049669,A_23_P14564,59,3702,0.015937331172339277,6,0,False
GPR65,1049670,CUST_14959_PI416261804,120,3702,0.03241491085899514,6,0,False
GPRIN3,1021672,A_24_P76649,1656,3702,0.4473257698541329,6,2,False
GPRIN3,1021673,CUST_390_PI416261804,1798,3702,0.48568341437061047,6,2,False
GUSBP2,1010976,A_32_P92654,3700,3702,0.9994597514856834,6,6,True
HEATR6,1040127,A_23_P77965,3424,3702,0.9249054565099946,6,6,True
HEATR6,1040128,CUST_1458_PI416261804,3237,3702,0.8743922204213939,6,6,True
HIP1R,1049068,A_23_P398294,3700,3702,0.9994597514856834,6,6,True
HIP1R,1049069,A_24_P229164,3692,3702,0.9972987574284171,6,6,True
HLA-DQA1,1018703,CUST_4646_PI416261804,23,3702,0.006212857914640735,6,0,False
HLA-DQA1,1021190,A_24_P326084,607,3702,0.16396542409508374,6,1,False
