gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
AC002563.2,1018725,CUST_830_PI416573500,122758,transmembrane protein 233,387890.0,12,0.6739600216099406,2495,3702
AC004053.1,1036458,A_23_P133075,60300,TBC1 domain containing kinase,93627.0,4,0.9967585089141004,3690,3702
AC004241.1,1049171,A_24_P347310,8830,"endonuclease, polyU-specific",8909.0,12,0.5135062128579146,1901,3702
AC004381.2,1018319,A_23_P49459,57373,exonuclease NEF-sp,81691.0,16,0.6053484602917342,2241,3702
AC004409.1,1019024,CUST_745_PI416573500,110266,coiled-coil domain containing 160,347475.0,X,0.8633171258779039,3196,3702
AC004690.2,1018953,A_24_P695306,180757,transmembrane protein 229A,730130.0,7,0.998109130199892,3695,3702
AC004863.6,1065986,A_32_P102750,81208,uncharacterized LOC154822,154822.0,7,0.6312803889789304,2337,3702
AC004980.7,1070145,A_32_P219963,1011221,uncharacterized LOC100133091,100133091.0,7,0.8973527822798487,3322,3702
AC005077.3,1014796,A_23_P42768,85839,serine/arginine repetitive matrix 3,222183.0,7,0.9997298757428417,3701,3702
AC005152.2,1021127,A_24_P497464,125184,uncharacterized LOC400618,400618.0,17,0.998109130199892,3695,3702
AC005277.1,1048040,A_23_P26854,9768,Rho GTPase activating protein 44,9912.0,17,0.9994597514856834,3700,3702
AC005301.1,1031487,A_24_P204269,122624,transmembrane phosphatase with tensin homology pseudogene 1,387590.0,22,0.9997298757428417,3701,3702
AC005393.1,1057182,A_23_P78888,2076,fibrillarin,2091.0,19,0.9997298757428417,3701,3702
AC005488.13,1013154,A_24_P925100,123475,"speedy homolog E8 (Xenopus laevis), pseudogene",389517.0,7,0.9994597514856834,3700,3702
AC005512.1,1056328,A_32_P136295,2771,"guanine nucleotide binding protein (G protein), gamma 7",2788.0,19,0.9994597514856834,3700,3702
AC005551.1,1012047,CUST_8284_PI416261804,94300,chromosome 19 open reading frame 77,284422.0,19,0.6812533765532145,2522,3702
AC005829.1,1022097,CUST_5348_PI416261804,166394,ADP-ribosylation factor-like 17B,100506084.0,17,0.9548892490545651,3535,3702
AC005921.3,1027643,A_23_P207493,31227,LUC7-like 3 (S. cerevisiae),51747.0,17,0.9994597514856834,3700,3702
AC006273.1,1038780,A_23_P67569,55750,lipid phosphate phosphatase-related protein type 3,79948.0,19,0.8862776877363587,3281,3702
AC007276.5,1012723,A_32_P73139,135463,dpy-19-like 2 pseudogene 3 (C. elegans),442524.0,7,0.9967585089141004,3690,3702
AC007405.8,1015786,A_32_P197340,94478,uncharacterized protein LOC285141,285141.0,2,0.9921663965424095,3673,3702
AC007510.1,1031450,CUST_856_PI416379584,122929,shisa homolog 6 (Xenopus laevis),388336.0,17,0.7155591572123177,2649,3702
AC007601.1,1022563,A_32_P86578,152807,hCG1983896,642696.0,16,0.9589411129119395,3550,3702
AC007688.2,1022158,A_32_P174572,60261,5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1,93164.0,12,0.9683954619124797,3585,3702
AC007743.1,1014736,CUST_265_PI417507815,1002199,uncharacterized LOC100129434,100129434.0,2,0.9824419232847109,3637,3702
AC007952.2,1011560,CUST_4079_PI416261804,55801,uncharacterized LOC79999,79999.0,17,0.9486763911399244,3512,3702
AC008073.1,1043222,A_23_P165402,31119,"splicing factor 3B, 14 kDa subunit",51639.0,2,0.9991896272285251,3699,3702
AC008073.2,1021275,A_32_P140742,151076,"family with sequence similarity 228, member A",653140.0,2,0.9932468935710427,3677,3702
AC008074.2,1044312,A_23_P210330,28830,"lectin, galactoside-binding-like",29094.0,2,0.9991896272285251,3699,3702
AC008429.1,1018636,CUST_11537_PI416261804,1001820,uncharacterized LOC100268168,100268168.0,5,0.6877363587250135,2546,3702
AC008735.3,1010578,CUST_1161_PI416379584,94247,scavenger receptor cysteine rich domain containing (5 domains),284297.0,19,0.9962182603997839,3688,3702
AC008806.1,1032427,CUST_2354_PI416261804,94313,"HKR1, GLI-Kruppel zinc finger family member",284459.0,19,0.9962182603997839,3688,3702
AC008875.1,1018699,A_24_P829181,152030,uncharacterized LOC648987,648987.0,5,0.9989195029713668,3698,3702
AC008969.2,1019027,A_24_P135427,1002112,uncharacterized LOC100128398,100128398.0,19,0.9994597514856834,3700,3702
AC009086.2,1061740,A_24_P213487,133532,"smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) pseudogene",440354.0,16,0.9994597514856834,3700,3702
AC009139.1,1016000,A_32_P71551,1000887,synaptonemal complex central element protein 1-like,100130958.0,16,0.9994597514856834,3700,3702
AC009163.1,1017552,A_23_P359497,55386,transmembrane protein 231,79583.0,16,0.9710967044840627,3595,3702
AC009171.1,1043866,A_23_P206830,30508,presequence translocase-associated motor 16 homolog (S. cerevisiae),51025.0,16,0.9989195029713668,3698,3702
AC009365.1,1032255,A_23_P428992,94758,uncharacterized FLJ40288,286023.0,7,0.9989195029713668,3698,3702
AC009532.1,1010845,CUST_3626_PI416261804,1000310,MRVI1 antisense RNA 1 (non-protein coding),100129827.0,11,0.9186925985953539,3401,3702
AC010087.3,1010923,A_23_P56703,79369,TraB domain containing 2A,129293.0,2,0.708535926526202,2623,3702
AC010203.2,1041809,A_23_P13998,34881,golgin A2 pseudogene 5,55592.0,12,0.9794705564559697,3626,3702
AC010325.3,1010264,CUST_4286_PI416261804,94272,uncharacterized LOC284365,284365.0,19,0.9997298757428417,3701,3702
AC010332.1,1018964,A_24_P323967,125242,zinc finger protein 880,400713.0,19,0.9573203673689897,3544,3702
AC010336.2,1018709,A_24_P147540,55965,putative uncharacterized protein FLJ22184,80164.0,19,0.9994597514856834,3700,3702
AC010422.1,1017174,A_23_P39024,58502,WD repeat domain 83,84292.0,19,0.9846029173419774,3645,3702
AC010442.2,1011000,A_24_P419300,25594,uncharacterized LOC25845,25845.0,5,0.9448946515397083,3498,3702
AC010606.4,1021520,CUST_4237_PI416261804,158772,methyl-CpG binding domain protein 3-like 3,653657.0,19,0.9800108049702864,3628,3702
AC010624.2,1016310,A_32_P215100,125240,FLJ26850 protein,400710.0,19,0.8681793625067531,3214,3702
AC010645.1,1038915,CUST_4754_PI416261804,55621,zinc finger protein 552,79818.0,19,0.9716369529983793,3597,3702
AC010896.1,1037034,A_24_P940803,59620,ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific),85465.0,2,0.98892490545651,3661,3702
AC010974.2,1031197,A_24_P298224,110103,NCK-associated protein 5,344148.0,2,0.9997298757428417,3701,3702
AC010980.2,1020951,A_24_P221745,134063,uncharacterized LOC440934,440934.0,2,0.8392760669908158,3107,3702
AC010982.1,1012392,CUST_2630_PI416261804,134033,uncharacterized LOC440900,440900.0,2,0.5650999459751486,2092,3702
AC011427.1,1034261,A_23_P424051,81114,"solute carrier family 25, member 48",153328.0,5,0.5135062128579146,1901,3702
AC011479.2,1047116,A_23_P27795,10506,"serine peptidase inhibitor, Kunitz type, 2",10653.0,19,0.9994597514856834,3700,3702
AC011498.2,1028699,A_23_P39251,133671,perilipin 5,440503.0,19,0.8719611021069692,3228,3702
AC011498.3,1037395,CUST_620_PI416261804,58913,hepatoma-derived growth factor-related protein 2,84717.0,19,0.9994597514856834,3700,3702
AC011511.1,1010395,CUST_924_PI416379584,1000068,"zinc finger, GATA-like protein 1",100125288.0,19,0.9989195029713668,3698,3702
AC011530.1,1038364,A_23_P67411,57202,radial spoke head 6 homolog A (Chlamydomonas),81492.0,19,0.9592112371690977,3551,3702
AC012100.1,1037285,CUST_2391_PI416261804,59078,signal peptide peptidase like 2A,84888.0,15,0.9978390059427337,3694,3702
AC012621.2,1048206,A_24_P373286,9594,centriolar coiled coil protein 110kDa,9738.0,16,0.9997298757428417,3701,3702
