gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
ANO4,3,0,0.01755807671528903
ANO9,2,0,0.1423554835224203
ANPEP,2,0,0.1580226904376013
ANXA10,2,0,0.008373851971907077
ANXA13,2,0,0.04835224203133441
ANXA2P3,2,0,0.43030794165316044
ANXA9,2,0,0.024311183144246355
AOC4,2,0,0.045921123716909776
AOX1,2,0,0.47811993517017826
AP000345.1,3,0,0.04267963263101027
AP000459.4,1,0,0.0010804970286331713
AP003170.1,2,0,0.02890329551593733
AP003355.2,2,0,0.42706645056726095
AP1M2,2,0,0.1053484602917342
APLF,2,0,0.12128579146407348
APOA2,1,0,0.014586709886547812
APOA4,2,0,0.38870880605078334
APOA5,2,0,0.08562938951917883
APOB,3,0,0.01620745542949757
APOBEC1,2,0,0.011885467314964884
APOBEC2,2,0,0.012155591572123177
APOBEC3A,1,0,0.005672609400324149
APOBEC3B,1,0,0.11804430037817396
APOBEC3C,1,0,0.050513236088600755
APOBEC3D,2,0,0.16531604538087522
APOBEC3G,3,0,0.3757428417071853
APOBEC3H,2,0,0.012155591572123177
APOBEC4,2,0,0.00864397622906537
APOC3,2,0,0.012965964343598054
APOF,2,0,0.007293354943273906
APOH,2,0,0.007023230686115613
AQP12A,2,0,0.018098325229605618
AQP3,2,0,0.391139924365208
AQP7P2,1,0,0.010804970286331712
AQP8,2,0,0.40437601296596437
AQP9,2,0,0.4584008643976229
AREG,3,0,0.13047001620745544
ARG1,2,0,0.29983792544570503
ARHGAP11A,4,0,0.10264721772015127
ARHGAP11B,2,0,0.1690977849810913
ARHGAP15,2,0,0.40437601296596437
ARHGAP30,2,0,0.09589411129119395
ARHGAP8,3,0,0.06699081577525662
ARHGEF5,3,0,0.3703403565640194
ARHGEF5L,1,0,0.27633711507293357
ARID3C,2,0,0.4343598055105348
ARL11,3,0,0.015667206915180983
ARL13A,2,0,0.008103727714748784
ARL14,2,0,0.014046461372231226
ARL5C,2,0,0.007293354943273906
ARMC3,2,0,0.09211237169097786
ARMC4,3,0,0.4313884386817936
ARMS2,2,0,0.09832522960561858
ARPC3P3,1,0,0.40707725553754726
ARR3,2,0,0.01431658562938952
ARRDC5,2,0,0.018368449486763912
ARSH,2,0,0.04024851431658563
ARSI,2,0,0.12263641274986493
ART1,2,0,0.025661804430037818
ART4,2,0,0.014046461372231226
ARVP6125,2,0,0.4141004862236629
ASB11,3,0,0.0337655321447866
ASB12,2,0,0.25823878984332793
ASB14,3,0,0.09859535386277687
ASB15,2,0,0.05375472717450027
ASB17,2,0,0.004592112371690978
ASB9,3,0,0.4327390599675851
ASCL3,2,0,0.010804970286331712
ASCL4,2,0,0.016477579686655863
ASF1B,2,0,0.21907077255537546
ASMT,2,0,0.22474338195569962
ASPG,2,0,0.17774176121015667
ASPM,3,0,0.08670988654781199
ASPN,2,0,0.43165856293895194
ASZ1,2,0,0.018098325229605618
ATAD5,2,0,0.49810913019989195
