structure_id,structure_acronym,structure_name,number_of_donors,coordinate_donor_count,mni_x,mni_y,mni_z,parkinsons_expression_score,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05
4143,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",6,6,-56.71253968253968,-33.67428571428571,-12.097301587301587,0.015272307,0.7919776,0.2140785921407859,0.6640064807078614,False
4013,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",6,6,-37.00555555555555,-6.5872222222222225,57.18888888888889,0.015036281,-0.11967114,0.541945805419458,0.902432484024325,False
4193,LiG-pest,"lingual gyrus, left, peristriate",6,6,-17.474444444444444,-69.83888888888889,-7.411111111111111,0.01442835,-1.177824,0.8808119188081192,0.9922007799220078,False
4012,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",6,6,-36.550000000000004,-0.9972222222222222,45.355555555555554,0.010850679,1.0159338,0.1587841215878412,0.5806150154215348,False
4107,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",6,6,-60.800000000000004,-38.56944444444445,27.683333333333334,0.009501418,-0.34729275,0.6372362763723628,0.9894968130305613,False
4069,PaOG,"parolfactory gyri, left",5,5,-6.75,18.52,-16.16,0.009378477,0.369141,0.3577642235776422,0.7298936772989368,False
4428,DTP,"posterior group of nuclei, left",5,5,-18.259999999999998,-28.160000000000004,1.48,0.0046378565,2.905266,0.0018998100189981,0.1738326167383261,False
4042,opIFG,"inferior frontal gyrus, opercular part, left",4,4,-52.2875,20.46666666666667,21.883333333333333,0.004429987,-0.14738634,0.5572442755724427,0.9187000218897028,False
4301,SptN,"septal nuclei, left",5,5,-3.34,1.6800000000000002,8.793333333333333,0.003706614,-0.23489061,0.5918408159184082,0.9500602571321816,False
4178,PLP,"planum polare, left",6,6,-49.444444444444436,-0.6583333333333332,-6.2250000000000005,0.0034504945,0.62372035,0.2651734826517348,0.6940597606905976,False
4158,FuG-its,"fusiform gyrus, left, bank of the its",6,6,-43.41111111111112,-25.208333333333332,-28.208333333333332,0.0027318934,2.004238,0.0202979702029797,0.2666304798091619,False
4063,SCG,"subcallosal cingulate gyrus, left",4,4,-4.5125,24.675,-10.65,-0.0013678138,-0.7528575,0.7755224477552245,0.9922007799220078,False
4351,BMA,"basomedial nucleus, left",6,6,-23.150000000000002,-6.866666666666667,-13.424999999999999,-0.008487754,2.040101,0.0203979602039796,0.2666304798091619,False
4596,LHA,"lateral hypothalamic area, anterior region, left",4,4,-7.875,0.7250000000000001,-5.825,-0.008621394,-0.7427178,0.7683231676832317,0.9922007799220078,False
4073,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",5,5,-2.7350000000000003,-21.64,67.36,-0.008964982,-0.66496146,0.7434256574342566,0.9922007799220078,False
4151,ITG-mts,"inferior temporal gyrus, left, bank of mts",6,6,-56.225132275132275,-28.86269841269841,-20.915079365079364,-0.009285551,1.5019978,0.0675932406759324,0.3649468386494684,False
4015,PrG-cs,"precentral gyrus, left, bank of the central sulcus",5,5,-32.65333333333333,-17.806666666666665,53.404999999999994,-0.01012255,-0.68881404,0.7509249075092491,0.9922007799220078,False
4201,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",6,6,-42.297222222222224,-62.65555555555556,-16.083333333333332,-0.011594863,0.46793982,0.321967803219678,0.7055687288414015,False
4215,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",5,5,-37.92,-83.37666666666667,9.336666666666668,-0.01322728,-0.10440723,0.5424457554244576,0.902432484024325,False
4172,PLT,"planum temporale, left",4,4,-56.775,-31.45,16.058333333333334,-0.014330626,0.6651697,0.2548745125487451,0.6940597606905976,False
4208,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",5,5,-42.690000000000005,-81.3,-7.546666666666667,-0.014953547,0.13525847,0.4406559344065593,0.8241645223232777,False
