gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome
SH3GL2,1051630,CUST_10871_PI416261804,6420,SH3-domain GRB2-like 2,6456.0,9
SIPA1L2,1040561,A_23_P137470,36841,signal-induced proliferation-associated 1 like 2,57568.0,1
SIPA1L2,1040562,CUST_5402_PI416261804,36841,signal-induced proliferation-associated 1 like 2,57568.0,1
SLC25A44,1048289,CUST_7482_PI416261804,9529,"solute carrier family 25, member 44",9673.0,1
SLC25A44,1048290,CUST_3312_PI416261804,9529,"solute carrier family 25, member 44",9673.0,1
SLC25A44,1048291,A_24_P312325,9529,"solute carrier family 25, member 44",9673.0,1
SLC2A13,1036278,A_23_P10211,76986,"solute carrier family 2 (facilitated glucose transporter), member 13",114134.0,12
SLC2A13,1036279,A_32_P199801,76986,"solute carrier family 2 (facilitated glucose transporter), member 13",114134.0,12
SLC2A13,1036280,A_24_P924816,76986,"solute carrier family 2 (facilitated glucose transporter), member 13",114134.0,12
SLC38A1,1011006,A_24_P261734,57247,"solute carrier family 38, member 1",81539.0,12
SLC38A1,1020708,A_23_P363399,57247,"solute carrier family 38, member 1",81539.0,12
SLC41A1,1032909,A_24_P122732,90193,"solute carrier family 41, member 1",254428.0,1
SLC41A1,1032910,A_23_P368182,90193,"solute carrier family 41, member 1",254428.0,1
SLC44A4,1038467,A_23_P93349,56510,"solute carrier family 44, member 4",80736.0,6
SLC44A4,1038468,A_24_P684183,56510,"solute carrier family 44, member 4",80736.0,6
SMAD4,1054430,A_23_P27346,4064,SMAD family member 4,4089.0,18
SMAD4,1054431,CUST_15879_PI416261804,4064,SMAD family member 4,4089.0,18
SNCA,1010655,A_32_P109653,6582,"synuclein, alpha (non A4 component of amyloid precursor)",6622.0,4
SNCA,1020182,A_23_P29939,6582,"synuclein, alpha (non A4 component of amyloid precursor)",6622.0,4
SORBS2,1029199,A_23_P121795,8408,sorbin and SH3 domain containing 2,8470.0,4
SORBS2,1029200,A_24_P140475,8408,sorbin and SH3 domain containing 2,8470.0,4
SORBS2,1068745,A_24_P912136,8408,sorbin and SH3 domain containing 2,8470.0,4
SPATA19,1033264,A_23_P430718,85590,spermatogenesis associated 19,219938.0,11
SPATA19,1033265,CUST_214_PI416261804,85590,spermatogenesis associated 19,219938.0,11
SPATA6,1042808,A_23_P327483,33849,spermatogenesis associated 6,54558.0,1
SPATA6,1042809,CUST_107_PI416261804,33849,spermatogenesis associated 6,54558.0,1
SPPL2B,1013582,A_32_P161447,36207,signal peptide peptidase like 2B,56928.0,19
SPPL2B,1019980,A_23_P79066,36207,signal peptide peptidase like 2B,56928.0,19
SPTSSB,1021818,A_32_P199551,81667,"serine palmitoyltransferase, small subunit B",165679.0,3
SPTSSB,1021819,CUST_1107_PI416261804,81667,"serine palmitoyltransferase, small subunit B",165679.0,3
STK39,1044446,A_23_P90762,27092,serine threonine kinase 39,27347.0,2
STK39,1044447,A_24_P19544,27092,serine threonine kinase 39,27347.0,2
STX1B,1036371,A_23_P152462,76608,syntaxin 1B,112755.0,16
STX1B,1036372,CUST_12338_PI416261804,76608,syntaxin 1B,112755.0,16
SV2C,1025369,CUST_882_PI416379584,22742,synaptic vesicle glycoprotein 2C,22987.0,5
SV2C,1025370,CUST_853_PI416573500,22742,synaptic vesicle glycoprotein 2C,22987.0,5
SV2C,1025371,CUST_618_PI416408490,22742,synaptic vesicle glycoprotein 2C,22987.0,5
SYT10,1031929,A_23_P13866,109937,synaptotagmin X,341359.0,12
SYT10,1031930,CUST_1388_PI416261804,109937,synaptotagmin X,341359.0,12
SYT17,1043121,A_23_P163697,31240,synaptotagmin XVII,51760.0,16
SYT17,1043122,CUST_636_PI416408490,31240,synaptotagmin XVII,51760.0,16
SYT17,1043123,CUST_1342_PI416261804,31240,synaptotagmin XVII,51760.0,16
SYT4,1051007,A_23_P208030,6820,synaptotagmin IV,6860.0,18
SYT4,1051008,CUST_639_PI416408490,6820,synaptotagmin IV,6860.0,18
SYT4,1051009,CUST_10907_PI416261804,6820,synaptotagmin IV,6860.0,18
TAC1,1028377,CUST_16410_PI416261804,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029249,CUST_2040_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029250,CUST_2039_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029251,CUST_2038_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029252,A_24_P38290,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029253,CUST_2037_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029254,CUST_2036_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029255,CUST_2035_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029256,CUST_25_PI416558205,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029257,CUST_26_PI416558205,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029258,CUST_2034_PI417557136,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1029261,CUST_16403_PI416261804,6823,"tachykinin, precursor 1",6863.0,7
TAC1,1051004,A_23_P215283,6823,"tachykinin, precursor 1",6863.0,7
TBC1D5,1011556,A_24_P289029,9635,"TBC1 domain family, member 5",9779.0,3
TBC1D5,1020243,A_23_P355455,9635,"TBC1 domain family, member 5",9779.0,3
TBXAS1,1019912,A_32_P212886,6876,thromboxane A synthase 1 (platelet),6916.0,7
TBXAS1,1028035,A_24_P274814,6876,thromboxane A synthase 1 (platelet),6916.0,7
TBXAS1,1028036,CUST_16570_PI416261804,6876,thromboxane A synthase 1 (platelet),6916.0,7
TEKT4,1034403,CUST_4578_PI416261804,80897,tektin 4,150483.0,2
TEKT4,1034404,A_32_P231179,80897,tektin 4,150483.0,2
TEKT4,1034405,CUST_1909_PI416261804,80897,tektin 4,150483.0,2
TIAL1,1022190,A_23_P161488,7030,TIA1 cytotoxic granule-associated RNA binding protein-like 1,7073.0,10
TIAL1,1022191,CUST_7506_PI416261804,7030,TIA1 cytotoxic granule-associated RNA binding protein-like 1,7073.0,10
TIAL1,1022192,CUST_7505_PI416261804,7030,TIA1 cytotoxic granule-associated RNA binding protein-like 1,7073.0,10
TMEM108,1039492,A_23_P254688,41843,transmembrane protein 108,66000.0,3
TMEM108,1039493,A_24_P71781,41843,transmembrane protein 108,66000.0,3
TMEM108,1061880,A_24_P51016,41843,transmembrane protein 108,66000.0,3
TMEM163,1038292,A_23_P39550,57297,transmembrane protein 163,81615.0,2
TMEM163,1038293,CUST_8542_PI416261804,57297,transmembrane protein 163,81615.0,2
TMEM175,1037692,A_23_P58148,58496,transmembrane protein 175,84286.0,4
TMEM175,1037693,CUST_588_PI416261804,58496,transmembrane protein 175,84286.0,4
TPM1,1029651,A_32_P89709,7125,tropomyosin 1 (alpha),7168.0,15
TPM1,1029652,A_23_P391586,7125,tropomyosin 1 (alpha),7168.0,15
TPM1,1029653,A_23_P206018,7125,tropomyosin 1 (alpha),7168.0,15
TPM1,1029654,A_24_P44462,7125,tropomyosin 1 (alpha),7168.0,15
TPM1,1029722,CUST_14757_PI416261804,7125,tropomyosin 1 (alpha),7168.0,15
TPM1,1030777,A_23_P363344,7125,tropomyosin 1 (alpha),7168.0,15
TPM1,1030778,CUST_14754_PI416261804,7125,tropomyosin 1 (alpha),7168.0,15
TRIM40,1035144,A_23_P402778,79645,tripartite motif containing 40,135644.0,6
TRIM40,1035145,CUST_2217_PI416261804,79645,tripartite motif containing 40,135644.0,6
TRIM46,1038649,A_23_P46215,55929,tripartite motif containing 46,80128.0,1
TRIM46,1038650,CUST_934_PI416261804,55929,tripartite motif containing 46,80128.0,1
TRIM46,1061310,A_23_P46222,55929,tripartite motif containing 46,80128.0,1
TXNDC15,1038974,A_23_P41777,55573,thioredoxin domain containing 15,79770.0,5
TXNDC15,1038975,CUST_10984_PI416261804,55573,thioredoxin domain containing 15,79770.0,5
UBAP2,1041521,A_23_P60472,35121,ubiquitin associated protein 2,55833.0,9
UBAP2,1041522,CUST_1497_PI416261804,35121,ubiquitin associated protein 2,55833.0,9
UBQLN4,1041134,A_23_P201059,36172,ubiquilin 4,56893.0,1
UBQLN4,1041135,CUST_5053_PI416261804,36172,ubiquilin 4,56893.0,1
UBTF,1011311,A_24_P349616,7300,"upstream binding transcription factor, RNA polymerase I",7343.0,17
UBTF,1020229,A_23_P100779,7300,"upstream binding transcription factor, RNA polymerase I",7343.0,17
USP50,1031669,CUST_309_PI416573500,119438,ubiquitin specific peptidase 50,373509.0,15
USP50,1031670,CUST_317_PI416379584,119438,ubiquitin specific peptidase 50,373509.0,15
USP8,1014451,CUST_10386_PI416261804,8978,ubiquitin specific peptidase 8,9101.0,15
USP8,1019894,A_23_P129058,8978,ubiquitin specific peptidase 8,9101.0,15
VAMP4,1022872,A_23_P61569,8605,vesicle-associated membrane protein 4,8674.0,1
VAMP4,1022873,CUST_4744_PI416261804,8605,vesicle-associated membrane protein 4,8674.0,1
VAMP4,1063422,A_24_P942030,8605,vesicle-associated membrane protein 4,8674.0,1
VN1R10P,1037931,A_23_P300087,122374,vomeronasal 1 receptor 10 pseudogene,387316.0,6
VN1R10P,1037932,CUST_1700_PI416261804,122374,vomeronasal 1 receptor 10 pseudogene,387316.0,6
WDHD1,1024873,A_23_P25873,11010,WD repeat and HMG-box DNA binding protein 1,11169.0,14
WDHD1,1024874,CUST_10452_PI416261804,11010,WD repeat and HMG-box DNA binding protein 1,11169.0,14
WDHD1,1067761,A_32_P148602,11010,WD repeat and HMG-box DNA binding protein 1,11169.0,14
WDR41,1042082,A_23_P259521,34544,WD repeat domain 41,55255.0,5
WDR41,1042083,CUST_289_PI416261804,34544,WD repeat domain 41,55255.0,5
WNT3,1050353,A_23_P130158,7430,"wingless-type MMTV integration site family, member 3",7473.0,17
WNT3,1050354,CUST_10005_PI416261804,7430,"wingless-type MMTV integration site family, member 3",7473.0,17
WWOX,1025804,A_23_P206413,31221,WW domain containing oxidoreductase,51741.0,16
WWOX,1025805,CUST_16920_PI416261804,31221,WW domain containing oxidoreductase,51741.0,16
WWOX,1043133,A_23_P83368,31221,WW domain containing oxidoreductase,51741.0,16
WWOX,1043134,A_23_P71972,31221,WW domain containing oxidoreductase,51741.0,16
WWOX,1043135,A_24_P116606,31221,WW domain containing oxidoreductase,51741.0,16
WWOX,1043136,CUST_16727_PI416261804,31221,WW domain containing oxidoreductase,51741.0,16
XPO1,1050310,A_32_P92714,7471,"exportin 1 (CRM1 homolog, yeast)",7514.0,2
XPO1,1050311,A_23_P40078,7471,"exportin 1 (CRM1 homolog, yeast)",7514.0,2
ZNF322,1039074,CUST_2383_PI416261804,55495,zinc finger protein 322,79692.0,6
ZNF322,1039075,A_32_P206293,55495,zinc finger protein 322,79692.0,6
ZNF608,1025964,A_23_P169978,36780,zinc finger protein 608,57507.0,5
ZNF608,1025965,CUST_10363_PI416261804,36780,zinc finger protein 608,57507.0,5
