gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome
IQCJ,1021047,CUST_1164_PI416379584,180697,IQ motif containing J,654502.0,3
IQCJ,1021142,CUST_1165_PI416379584,180697,IQ motif containing J,654502.0,3
IQCJ,1021143,CUST_1127_PI416573500,180697,IQ motif containing J,654502.0,3
IQCJ,1021144,CUST_1128_PI416573500,180697,IQ motif containing J,654502.0,3
IQCJ-SCHIP1,1044119,A_32_P62863,29703,schwannomin interacting protein 1,29970.0,3
IQCJ-SCHIP1,1044120,CUST_10207_PI416261804,29703,schwannomin interacting protein 1,29970.0,3
IRS2,1049467,A_24_P207003,8591,insulin receptor substrate 2,8660.0,13
IRS2,1049468,A_23_P53838,8591,insulin receptor substrate 2,8660.0,13
IRS2,1049469,A_24_P154037,8591,insulin receptor substrate 2,8660.0,13
ITGA2B,1054940,A_23_P77971,3649,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",3674.0,17
ITGA2B,1054941,A_24_P65373,3649,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",3674.0,17
ITGA8,1049617,A_23_P46781,8450,"integrin, alpha 8",8516.0,10
ITGA8,1049618,CUST_5678_PI416261804,8450,"integrin, alpha 8",8516.0,10
ITGAE,1054931,A_23_P218375,3657,"integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)",3682.0,17
ITGAE,1054932,CUST_13181_PI416261804,3657,"integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)",3682.0,17
ITIH1,1054912,A_23_P18223,3672,inter-alpha-trypsin inhibitor heavy chain 1,3697.0,3
ITIH1,1054913,A_24_P136905,3672,inter-alpha-trypsin inhibitor heavy chain 1,3697.0,3
ITPKB,1054898,A_23_P372255,3682,inositol-trisphosphate 3-kinase B,3707.0,1
ITPKB,1054899,CUST_7737_PI416261804,3682,inositol-trisphosphate 3-kinase B,3707.0,1
KCNIP3,1022417,A_23_P356004,29809,"Kv channel interacting protein 3, calsenilin",30818.0,2
KCNIP3,1022418,CUST_382_PI416408490,29809,"Kv channel interacting protein 3, calsenilin",30818.0,2
KCNIP3,1022419,CUST_11026_PI416261804,29809,"Kv channel interacting protein 3, calsenilin",30818.0,2
KCNN3,1027249,A_23_P126167,3757,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",3782.0,1
KCNN3,1027250,CUST_15116_PI416261804,3757,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",3782.0,1
